welfare_id,welfare_service_name,welfare_dept_name,welfare_target_detail,welfare_crit,welfare_service_content,welfare_howto,welfare_contact,welfare_phone,welfare_site_name,welfare_site_link,welfare_purpose,welfare_family,welfare_target,welfare_life
WLF00003206,(북한이탈주민) 의료비 지원,정착지원과,2021년에 질병으로 치료받은 북한이탈주민을 지원합니다.,"


북한이탈주민 의료비 지원 사업 선정기준은 다음과 같습니다.

일반(한방)질환 : 연2회, 본인부담액의 50%, 최대 200만원
만성ㆍ중증ㆍ희귀난치성질환 : 횟수 무관, 본인부담금의 100%, 최대 700만원
출산, 불임(일반포함): 연1회, 본임부담금의 50%
* 체외수정 및 인공수정 당일비용 적용(진단서에 시술명 및 시술날짜 명시)
장기이식 : 1인 1회, 본인부담금 50% 최대 1,000만원
* 기증자의 경우, 중증질환 지원기준 적용


북한이탈주민 공공의료체계지원 사업 선정기준은 다음과 같습니다.

남북하나재단에 공공의료체계지원 신청 후 지원병원을 지정받은 자
만성중증희귀성질환, 법정 감염병, 심리질환으로 외래 또는 입원하여 진료받은 경우 및 상기 질환의 합병증에 해당하는 일반질환






","의료비 지원 사업 대상자에게 다음과 같이 지원됩니다.

일반(한방)질환 : 연 2회, 본인부담액의 50%, 최대 200만원
만성  중증  희귀난치성질환 : 횟수 무관, 본인부담금의 100%, 최대 700만원
출산, 불임(일반포함) : 연 1회, 본인부담금의 50%
* 체외수정 및 인공수정 당일비용 적용(진단서에 시술명 및 시술날짜 명시)
장기이식 : 1인 1회, 본인부담금 50% 최대 1,000만원
(기증자의 경우, 중증질환 지원기준 적용)


공공의료체계지원 사업 대상자에게는 1인당 연 최대 700만원 이내에서 지원됩니다.(횟수 무관, 본인부담금 전액)
※ 제외항목, 처리절차, 신청방법 등은 북한이탈주민지원재단 홈페이지에서 확인하세요!","거주지 읍/면/동 주민센터, 남북하나재단에서 ‘서비스 신청’",통일부 정착지원과,02-2100-5925,통일부 정착지원과,www.unikorea.go.kr,9,다문화·탈북민,5,6
WLF00003208,장기복무제대군인 취업지원,국가보훈처 제대군인일자리과,"군에서 10년 이상 복무 후 전역한 장교, 준사관, 부사관에게 취업을 지원합니다.
관할 제대군인지원센터 회원으로, 전역일 기준 5년 이상 복무자로서 1년 이내 전역 예정이거나 교육시작일 및 취업역량비 신청일 현재 전직교육기간 중인 자에게 취업역량 교육비를 지원합니다.
주소지 관할 보훈(지)청에 중장기복무 제대군인 지원대상으로 결정(등록)된 자로서, 전역 후 3년이 지나지 않은 미취업 상태의 제대군인에게 직업교육훈련 바우처를 지원합니다.","


취업지원의 선정기준은 다음과 같습니다.

군에서 10년 이상 복무 후 전역한 장교, 준사관, 부사관으로서 취업희망 신청서를 제출한 날 현재 전역 후 3년이 경과되지 아니한 자
전역 후 3년이 경과된 경우, 생활수준조사 결과 기준금액 이하인 자









","아래는 취업 지원의 세부사항입니다.

국가기관, 지방자치단체, 일상적으로 20인 이상(제조업체의 경우에는 200인 이상)을 고용하는 공기업체와 사기업체 및 단체에 취업을 지원합니다.
취업 지원은 1회입니다.(단, 업체 등의 폐업, 통합, 합병 기타 본인의 책임이 없는 사유로 퇴직한 경우에는 재취업 지원)
채용 시, 우대사항입니다.

- 제대군인(의무복무자 포함)
- 각종 채용시험에 응시 가능한 상한연령을 군복무기간에 따라 1～3세 연장
- 채용시험 결과가 동점인 경우에 제대군인을 우선적으로 합격시킴
- 호봉과 임금을 결정할 때, 군 복무 경력을 포함시킴","거주지 읍/면/동 주민센터, 에서 ‘서비스 신청’",보훈상담센터,1577-0606,보훈상담센터,,9,보훈대상자,5,6
WLF00003209,독립유공자 (손)자녀 생활지원금,국가보훈처 보상정책과,"보상금을 받지 않는 독립유공자의 (손)자녀로서 기초생활수급자(생계 및 의료급여),기준 중위소득 70% 이하자, 기초연금수급자(단독 또는 부부세대)에게 생활지원금을 지원합니다.","
                                   
                                   
                                   
                                   
선정기준은 지원대상의 내용을 참고해주시기 바랍니다.
                                   
                                   
","국민기초생활보장법의 기초생활수급자(단, 부양의무자 기준을 적용하지 않는 급여수급자는 제외)에게 월 478,000원을 지급합니다.
기준 중위소득 70% 이하 또는 기초연금수급자(단독 또는 부부세대)에게 월 345,000원을 지급합니다.
가구별 지급대상이 2인을 넘을 경우 2인부터는 월 100,000원 지급합니다.","거주지 읍/면/동 주민센터, 관할 보훈(지)청에서 ‘서비스 신청’",보훈상담센터,1577-0606,보훈상담센터,www.mpva.go.kr,9,저소득,5,6
WLF00003216,국가보훈대상자학습보조비지급,국가보훈처 생활안정과,"중학교, 고등학교에 재학 중인 유공자 본인 및 그 자녀, 전몰순직사망행방불명자의 배우자를 지원합니다.
대학교에 재학 중인 국가유공자(애국지사, 고엽제후유의증환자, 5.18 민주유공자, 특수임무유공자, 보훈보상대상자 포함) 본인 및 전몰순직사망행방불명자의 배우자를 지원합니다.
특수교육 대상자로서 특수교육을 받는 교육지원대상자에게 지원합니다.","
                                   
                                   
                                   
                                   
선정기준은 지원대상의 내용을 참고해주시기 바랍니다.
                                   
                                   
","교육지원대상자의 과정별 최대 학습보조비 지급기간은 다음과 같습니다.

중학교(과정): 6학기(이내)
고등학교(과정): 6학기(이내)
2년제 대학(과정): 4학기(이내)
3년제 대학(과정): 6학기(이내)
4년제 대학(과정): 8학기(이내)
5년제 대학(과정): 10학기(이내)
6년제 대학(과정): 12학기(이내)


학용품 등을 구입할 수 있도록 다음의 금액을 지급합니다.

중학생: 12만4,000원
인문계 고등학생: 14만4,000원
전문계 고등학생: 18만6,000원
대학생: 23만6,000원
특수학교 유초등부: 53만4,000원
특수학교 중고등부: 71만8,000원","거주지 읍/면/동 주민센터, 에서 ‘서비스 신청’",국가보훈처,,국가보훈처,http://www.mpva.go.kr/,9,보훈대상자,5,6
WLF00003218,의료급여(의료급여건강생활유지비),보건복지부 기초의료보장과,"1종 수급권자 전체(본인부담 면제자, 급여제한자의 경우에는 제외)에게 본인부담금을 지원합니다.
비급여항목은 지원대상이 아닙니다.","


1종 의료급여 수급자 자격 기준은 아래와 같습니다.

다음 항목의 어느 하나에 해당하는 자 또는 근로 능력이 없거나, 보건복지부 장관이 근로가 곤란하다고 인정한 자로 구성된 세대의 구성원을 선정합니다.

- 18세 미만인 자
- 65세 이상인 자
- 장애인고용촉진 및 직업재활법에 중증 장애인
- 국민기초생활보장법시행령에 해당하는 자
- 임신 중에 있거나 분만 후 6개월 미만의 여자
- 병역 의무를 이행 중인 자


보장시설에서 급여를 받고 있는 자(국민기초생활보장시설 수급자)
보건복지부 장관이 인정한 자(국민기초생활보장 특례수급자)
보건복지부 장관이 정하여 고시하는 희귀난치성 질환 및 중증 질환(암환자, 중증화상 환자) 등록자

- 법 제3조 1항 2호부터 9호까지의 규정에 해당하는 자
- 법 제2조 1호에 해당하는 수급권자
- 보건복지부 장관이 1종 의료급여가 필요하다고 인정하는 자








","1종 수급권자(본인 부담 면제자, 급여 제한자 제외) 1인당 매월 6천원을 지급합니다.","거주지 읍/면/동 주민센터, 시군구에서 ‘서비스 신청’",보건복지부 국민기초생활보장제도,,보건복지부 국민기초생활보장제도,http://team.mw.go.kr/blss,9,저소득,5,6
WLF00003227,초.중.고 학생 교육비지원,교육부 교육복지정책과,"지원대상 
 
 저소득층 수급 자격자(기초, 한부모, 법정 차상위)인 학생 
 가구의 소득인정액이 시도교육청별 지원 기준에 해당하는 학생 
※ 시도교육청 기준에 따라 지원항목, 대상, 학년의 범위가 다르며, 상세 기준은 교육비원클릭신청시스템(oneclick.moe.go.kr) 시도교육청별 지원기준 참고","○학생 또는 학생이 속하는 가구원 중 1인 이상이 아래 자격을 보유한 경우
  -국민기초생활수급자(생계, 의료, 주거, 교육급여)
  -한부모가족보호대상자
  -법정차상위대상자(본인 부담경감, 장애수당, 장애연금, 차상위계층확인서발급)
○소득인정액이 시도교육감이 정하는 기준
  -소득인정액 = 소득평가액 + 재산의 월 소득환산액

중복지원제한
○고교학비
  -교육급여, 한부모 등 법령에 의해 별도 지원을 받는 경우 해당부분은 제외하고 지원
○교육정보화 지원(컴퓨터)
  -가구원중 기존에 받은 경우 지원 제외(시도교육청별로 기지원 연도 등에 따라 지원 여부가 다를 수 있음)","어떤 혜택을 받을 수 있나요? 
 
 
 
 
○ 고교학비: 입학금, 수업료, 학교운영지원비 전액 
○ 급식비: 학기 중 중식비 
○ 방과후학교 자유수강권: 1인당 연간 60만원 내외 지원(교재비 포함) 
○ 교육정보화 지원: 가구당 컴퓨터 1대, 가구당 인터넷 통신비 월 17,600원, 유해차단 서비스 월 1,650 이내 
  ※ 지원액 등은 시도교육청별 상이할 수 있습니다.","거주지 읍/면/동 주민센터, 교육청 또는 복지로 웹사이트(PC/모바일앱)에서 ‘서비스 신청’",인천 교육청,"032-420-8296(고교학비), -8296(방과후), -8298(교육정보화), -8295(급식비",인천시교육청,,9,"한부모·조손, 저소득",5,6
WLF00003228,의료급여 선택의료급여기관제,보건복지부 기초의료보장과,생활이 어려운 저소득계층 중 같은 병으로 여러 병의원을 이용하였거나 중복투약으로 인하여 연간 급여일수 상한을 초과하여 의료급여를 받고자 하는 경우와 자발적으로 참여하는 경우에 지원합니다.,"


연간 의료급여 일수 초과 이전에 의료급여 일수 연장승인을 요청하였거나, 병의원을 선택하는 신청서를 시군구청이나 읍면동에 제출한 수급자 중에서 의료급여심의위원회에서 급여 일수 연장을 승인하는 것이 타당하다고 판단한 경우에 지원합니다.




","수급권자가 지정한 선택의료급여기관을 이용할 경우, 의료급여 비용 전액에 대한 본인부담금을 면제합니다(1종).","거주지 읍/면/동 주민센터, 시군구에서 ‘서비스 신청’",보건복지부 콜센터,129,보건복지부 콜센터,http://www.129.go.kr,9,저소득,5,6
WLF00003232,농업인안전보험,농림축산식품부 재해보험정책과,"만 15~87세이며 영농 활동에 종사하는 농업인에게 지원합니다.
※ 단, 일부 상품은 만 84세까지 지원

위 농업인을 피보험자로 하는 보험계약자로, 일반1형 만 15~87세, 일반2  3  산재형은 만15~84세에 해당하는 경우 지원합니다.
※ 농작업근로자안전보험 : 만15~87세의 농업근로자(90일 미만)를 고용한 경영주인 농업인","


선정기준은 다음과 같습니다.

「농어업경영체 육성 및 지원에 관한 법률」에 따라 농업경영체에 등록된 자를 피보험자*로 하여 보험계약을 체결하는 자를 선정합니다.
* 경영주인 농업인 및 경영주외 농업인(무급가족종사자, 피고용인-외국인근로자 포함)을 말함. 단,「산업재해보상보험법」에 따른 산업재해보상보험의 적용을 받거나, 최근 2년 이내에 보험 관련 보험사기행위로 형사처벌을 받은 사람은 제외
농작업근로자안전보험은 농업경영체에 등록된 농업경영주*가 자신의 농업활동에 종사하는 90일 미만의 근로자(만 1587세)를 피보험자로 보험계약을 체결하는 경우 국고지원합니다.
* 단,「산업재해보상보험법」에 따른 산업재해보상보험의 적용을 받는 농업경영주(상시근로자 5인이상 사업장을 운영하는 경영주)는 제외






","본인부담 보험료의 일부를 지원(일반농가 50%, 영세농가70%)하고, 농작업 중 안전사고로 인한 신체 등 손해 시 보험금을 지급합니다.","거주지 읍/면/동 주민센터, 에서 ‘서비스 신청’",NH농협생명,1544-4000,NH농협생명,http://www.nhlife.co.kr,9,저소득,5,6
WLF00003237,미숙아 및 선천성이상아 의료비 지원,보건복지부 출산정책과,"미숙아는 다음의 경우에 지원합니다.

긴급한 수술 또는 치료가 필요하여 출생 후 24시간 이내에 신생아중환자실(NICU)에 입원한
 경우※ 신생아중환자실 부족에 따른 대기 또는 이송의 사유로 출생 후 24시간 이내에 신생아중환자실에 입원 하지 못한 경우, 의료기관의 확인을 받아 지원 가능





선천성이상아는 다음의 경우에 지원합니다.

(2020.9.1 이후 출생아) 출생후 1년 이내에 선천성 이상(Q코드)으로 진단받고, 선천성이상 질환을 치료하기 위하여 출생 후 1년 이내에 입원하여 수술
2020.8.31 이전 출생아) 출생 후 28일 이내에 선천성이상(Q코드)으로 진단받고, 선천성이상 질환을 치료하기 위하여 출생 후 6개월 이내에 입원하여 수술
※ 반드시 입원하여 치료를 위한 수술을 시행하고 그에 따른 치료비용에 한하여 지원","


선정기준은 다음과 같습니다.

기준 중위소득 180% 이하 가구의 미숙아 및 선천성 이상아 출산 가정
둘째아 이상 출생아가 미숙아 및 선천성 이상아인 경우(첫째로 출생한 쌍둥이는 다자녀로 인정하며, 소득수준에 관계없이 지원)
위의 기준을 원칙으로 하지만, 시도지사 또는 시장/군수/구청장(보건소장)이 추가지원이 필요하다고 인정한 경우에도 예산의 범위 내에서 지원


소득판별 기준은 다음과 같습니다.

기초생활수급자(생계, 의료, 주거, 교육) 및 차상위계층(계층확인, 자활, 장애인, 본인부담경감대상)
부모 중 한면이 기초생활보장수급자 또는 차상위계층 자격 보유 시 해당 가구로 인정
건강보험료 납부금액을 기준으로 가족원수별 기준중위소득 180% 이하인 가구






","미숙아와 선천성이상아의 수술 및 치료비를 지원합니다.

미숙아: 체중별 최고 1,000만원까지 지원
선천성이상아: 최고 500만원까지 지원","거주지 읍/면/동 주민센터, 에서 ‘서비스 신청’",보건복지부 콜센터,129,보건복지부 콜센터,http://www.129.go.kr,9,저소득,5,영유아
WLF00003238,의료급여수급권자 일반건강검진비 지원,보건복지부 건강증진과,"일반건강검진은 의료급여수급권자 중 만 19~64세 세대주 및세대원을 지원합니다.
의료급여생애전환기검진은 의료급여수급권자 중 만 66세이상 세대주 및 세대원을 지원합니다.","
                                   
                                   
                                   
                                   
선정기준은 지원대상의 내용을 참고해주시기 바랍니다.
                                   
                                   
","일반건강검진은 고혈압, 당뇨 등 심뇌혈관질환을 조기 발견하여 치료 및 관리로 연계하기 위해 건강검진 서비스를 제공합니다.
의료급여생애전환기건강검진은 성별연령별 특성에 적합한 맞춤형 건강진단 서비스를 제공합니다.

골밀도 검사 : 만 66세 여성
인지기능장애 : 만 66세 이상 2년 마다
정신건강검사(우울증) : 만 70세~79세 중 1회
생활습관평가 : 만 70세
노인신체기능검사 : 만 66, 70, 80세","거주지 읍/면/동 주민센터, 에서 ‘서비스 신청’",국민건강보험공단,1577-1000,국민건강보험공단,www.nhis.or.kr,9,저소득,5,6
WLF00003240,평생교육바우처,교육부 평생학습정책과,"기초생활수급자 및 차상위 계층, 기준중위소득 65%이하의 성인에게 지원합니다.","


기초생활수급자(생계의료주거교육급여)와 한부모가족보호대상자, 차상위 계층(차상위장애연금, 차상위장애수당, 차상위자활, 차상위본인부담경감 대상자 등)의 성인을 선정합니다.




","1인당 연간 35만 원 이내에서 평생교육바우처를 지원합니다.

학점취득 교육(학점은행제 등)
지자체 평생학습관, 대학 부설 평생교육원
평생 바우처 사용기관으로 등록된 시설
평생교육 바우처는 평생교육강좌 수강료 및 수강에 필요한 교재비 및 재료비에 사용 가능합니다.


바우처를 신청할 수 있는 평생교육기관 및 수강 가능한 평생교육 프로그램은 평생교육 바우처 홈페이지를통해 확인 가능합니다.","거주지 읍/면/동 주민센터, 국가평생교육진흥원에서 ‘서비스 신청’",평생교육 바우처 콜센터,1600-3005,평생교육 바우처 콜센터,,9,저소득,5,"청년, 노년, 중장년"
WLF00003247,재난적의료비 지원 사업,보건복지부,"과도한 의료비로 인한 경제적 부담을 겪는 가구에 의료비를 지원합니다.

의료기관 등에서 입원 진료를 받는 경우(모든 질환 적용)와 6대 중증질환(암, 뇌혈관질환, 심장질환, 희귀질환, 중증난치질환, 중증화상질환)으로 의료기관 등에서 외래 진료를 받은 경우","


기초생활 수급자차상위계층, 기준중위소득 100% 이하인 경우에 지원합니다.

재산 5억4천만원 이하
개별심사를 통해 최대 기준중위소득 200%까지 선정 가능


1회 입원에 따른 가구의 연소득 대비 의료비 부담액이 15% 초과한 경우 지원합니다.

개별심사의 경우 연소득의 20% 초과시 지원
수급자, 차상위는 80만원, 중위소득 50% 이하는 160만원 초과시 지원






","연간 2천만원 범위내에서(개별심사를 통해 최대 3천만원 가능), 비급여 중심 의료비의 50%를 지원합니다.","거주지 읍/면/동 주민센터, 에서 ‘서비스 신청’",국민건강보험공단,1577-1000,국민건강보험공단,www.nhis.or.kr,9,"저소득, 장애인",5,6
WLF00003255,급식비,교육부 학생건강정책과,"저소득층 수급 자격자(기초, 한부모, 법정 차상위)인 학생을 지원합니다.
가구의 소득인정액이 시도교육청별 지원기준에 해당하는 학생을 지원합니다.
각 학교별 학교장 추천이 결정된 학생을 지원합니다..
법무부장관이 추천한 난민인정자 또는 그 자녀를 지원합니다.
외부기관, 사회단체 및 독지가 등으로부터 중식비를 지원받고 있는 학생(중복지원 배제)은 제외합니다.","


저소득층 수급 자격기준은 다음과 같습니다.

학생 또는 학생이 속한 가구원 중 1인 이상이 다음 자격을 보유한 경우가 해당합니다.
국민기초생활수급자(생계, 의료, 주거, 교육급여, 한부모가족보호대상자, 법정 차상위 대상자
* 차상위 자활, 차상위 본인부담 경감, 차상위 장애수당, 차상위 장애연금, 차상위계층 확인서 발급 대상자


소득인정액 기준은 시도교육감이 정하는 기준에 해당하는 가구를 선정합니다.

소득인정액 = 소득평가액+재산의 월 소득환산액






",학교 급식비를 교육청에서 학교로 지원하여 대상자에게 무료로 급식을 제공합니다.,"거주지 읍/면/동 주민센터,  또는 복지로 웹사이트(PC/모바일앱)에서 ‘서비스 신청’",서울시교육청콜센터,02-1396,서울시교육청콜센터,,9,"장애인, 저소득, 한부모·조손",5,6
WLF00003258,아동발달지원계좌(디딤씨앗통장)지원,보건복지부 아동권리과,"만 18세 미만의 아동복지시설(아동양육시설, 공동생활가정)보호아동, 가정위탁 보호아동, 장애인시설 생활 아동, 소년소녀가정 아동에게 지원합니다.


지원 제외 대상

정부나 지자체에서 지원하는 유사한 형태의 자산형성지원사업과 중복 지원하지 않습니다.
희망플러스통장(서울시), 꿈나래통장(서울시) 등과 중복 지원하지 않습니다.
서울시는 꿈나래통장사업을 진행하고 있으므로 중복 지원 가능성을 고려하여 기초수급가정은 사업 지역에서 제외합니다.
다만, 지원 대상 및 사업 취지를 고려하여 희망키움통장과는 중복 지원이 가능합니다(2013년 1월 1일부터).","


중위소득 40% 이하의 수급 가구(생계, 의료 급여)의 만 12세부터 만17세까지 아동 중 신규 선정하여 만 18세 미만까지 지원합니다.

2004년생~2009년생의 생계 또는 의료 급여 수급자 가정 아동 중 신규 선정


가정 회복으로 중도에 가정으로 복귀하는 아동도 계속 지원합니다.
기초생활수급가구 아동 또한, 해당 가정이 중위소득 40%를 초과해도 계속 지원합니다.




","기본 매칭 적립의 경우, 대상 아동이 월 5만원 내에서 적립하면 국가(지자체)가 월 5만원 내에서 1:1 매칭 지원합니다.
5만원 적립 후 월 45만원(연간 540만원) 내에서 추가 적립 가능하며, 추가 적립액에 대한 국가 매칭은 없습니다.","거주지 읍/면/동 주민센터,  또는 복지로 웹사이트(PC/모바일앱)에서 ‘서비스 신청’",디딤씨앗통장(아동발달지원계좌),,디딤씨앗통장(아동발달지원계좌),http://www.adongcda.or.kr,9,저소득,5,6
WLF00003265,장애수당,보건복지부 장애인자립기반과,생계의료주거교육급여 수급자 및 차상위계층 중 만 18세 이상의 장애인연금법상 중증장애인에 해당 하지 않는 장애인을 지원합니다.,"


소득인정액이 기준 중위소득 50% 이하일 경우 지원합니다.

4인 가구 기준 2,438,145원 이하


연령 기준은 다음과 같습니다.

신청하는 달을 기준으로 만 18세 이상인 경우
특수학교 등 학교에 재학(휴학 포함) 중인 18~20세는 제외
신청일이 속하는 월의 말일까지 만 18세가 되는 경우는 포함


기타 기준은 다음과 같습니다.

신청일 현재 등록 장애인(등록한 장애 외국인은 제외)
장애정도가 중증장애인에 해당하지 않은 경우(종전 3~6급)
* 17.8.9일 이후 장애수당을 신청하는 모든 경증장애인(종전3~6급)은 장애 정도 심사를 받아야합니다.
단, 신청일이 속한 월 당시 만 65세 이상이거나 07.4.1일 이후 국민연금공단에서 장애 정도 심사를 받아 현재의 장애 정도를 받은 경우 재심사를 면제합니다.


가구의 범위는 국민기초생활보장제도의 가구 범위와 동일하게 적용하며, 가구 해체 방지를 위하여 별도의 가구 특례를 적용합니다.
부양의무자의 기준은 적용하지 않습니다.




","다음의 대상에 경증장애수당을 지원합니다.

생계의료주거교육급여 수급자 및 차상위: 매월 4만원
보장시설 수급자(생계, 의료): 매월 2만원","거주지 읍/면/동 주민센터, 에서 ‘서비스 신청’",보건복지부 콜센터,129,보건복지부 콜센터,http://www.129.go.kr,9,저소득,5,6
WLF00003267,장제급여,보건복지부 기초생활보장과,"생계, 의료, 주거급여 수급자가 사망한 경우와 의사자로 사망한 경우에 지원합니다.
의사자에 대한 장제급여 신청기간은 의사자 인정일로부터 3년 이내로 제한합니다.","



생계, 의료, 주거급여 수급자가 사망한 경우에 지원합니다.
「의사상자 등 예우 및 지원에 관한 법률」 제14조(장제보호)에 따른 의사자 ※의사자에 대한 장제급여 신청기간은 의사자 인정일로부터 3년 이내로 제한합니다.

","기초생활보장 수급자가 사망한 경우 사체의 검안, 운반, 화장 또는 매장 기타 장제조치를 행하는 데 필요한 금품으로 1구당 80만원 지급합니다.","거주지 읍/면/동 주민센터, 읍면동 또는 복지로 웹사이트(PC/모바일앱)에서 ‘서비스 신청’",보건복지상담센터,129,보건복지부,http://www.mohw.go.kr,9,저소득,5,6
WLF00003273,의료급여(본인부담 보상금),보건복지부 기초의료보장과,"의료급여 수급권자 중에서 급여대상 본인부담금이 일정한 금액을 초과한 수급권자에게 지원합니다.
비급여항목은 지원대상이 아닙니다.","


1종은 매 30일간 의료급여 본인부담금이 20,000원을 초과했을 때 초과금액의 50%를 보상합니다.
2종은 매 30일간 의료급여 본인부담금이 200,000원을 초과했을 때 초과금액의 50%를 보상합니다.




","본인부담금이 매 30일간 일정 금액(1종 : 2만원, 2종 : 20만원)을 초과한 경우에 초과 금액의 50%를 보상합니다.
수급권자의 급여대상 본인부담금이 대통령령에서 정하는 금액을 초과한 경우, 그 초과금액의 100분의 50에 해당하는 금액을 보상합니다.
다만, 노인틀니, 치과임플란트, 선별급여, 상급종합병원종합병원병원한방병원 이상 의료기관 상급병실료(23인실) 및 연장승인 미신청 등으로 인한 건보부담적용금액 등은 본인부담금 보상 대상에서 제외합니다.
지급금액이 2,000원 미만일 경우에는 지급하지 않습니다.","거주지 읍/면/동 주민센터, 시군구에서 ‘서비스 신청’",보건복지부 국민기초생활보장제도,,보건복지부 국민기초생활보장제도,http://team.mw.go.kr/blss,9,저소득,5,6
WLF00003274,국가유공자보철구지급,국가보훈처 보훈의료과,"상이를 입은 국가유공자를 지원합니다.

전상군경, 공상군경, 4.19혁명 부상자, 공상 공무원, 국가사회 발전 특별공로 상이자, 6.18자유상이자, 국가유공자에 준하는 군경, 전투종사 군무원 등


애국지사, 5.18민주화운동 부상자, 고엽제 후유의증 환자, 재해부상군경 및 재해부상공무원, 국가유공자에 해당되지 않지만 해당 부상으로 인하여 수술한 자를 지원합니다.","
                                   
                                   
                                   
                                   
선정기준은 지원대상의 내용을 참고해주시기 바랍니다.
                                   
                                   
","보철구 승인 수가를 적용해 해당 부상 부분에 대한 보철구를 지원합니다.

보철구 지급 우선순위에 따라 취형 대상자를 결정하여 취형 대상자 또는 장착 대상자에게 1개월 전까지 개별적으로 통지합니다.
보철구 신청자의 편의를 위하여 가능한 한 보철구를 방문 또는 탁송하여 지급합니다.","거주지 읍/면/동 주민센터, 에서 ‘서비스 신청’",국가보훈처,,국가보훈처,http://www.mpva.go.kr/,9,보훈대상자,5,6
WLF00003279,언어발달지원사업,보건복지부 장애인서비스과,"부모 또는 조손 가정의 조부모 중, 어느 한 쪽 (조)부모가 시각, 청각 ,언어, 지적, 자폐성, 뇌병변 등록 장애인일 경우, 만 12세 미만의 비장애 자녀에게 지원합니다.","


기준중위소득의 120% 이하인 가구를 선정합니다(소득별 차등지원).




","언어듣기능력 재활 등 언어재활서비스, 독서지도, 수어지도의 서비스를 제공합니다.
* 논술지도, 학습지도 등 교과목 수업이나 학습지를 사용한 지도는 불가함
바우처 지원액은 아래와 같이 소득별로 차등 지원합니다.

기초생활수급자: 월 22만원 지원(본인부담금 면제)
차상위계층: 월20만원(본인부담금 2만원)
기준중위소득65% 이하: 월18만원(본인부담금 4만원)
기준중위소득120% 이하: 월16만원(본인부담금 6만원)","거주지 읍/면/동 주민센터, 에서 ‘서비스 신청’",사회서비스바우처,,사회서비스바우처,http://www.socialservice.or.kr,9,장애인,5,6
